articulationpoint	averagebetweenness	averagecloseness	averagenodeconnectivity	averageeccentricity	averagepathlength	clusteringcoefficient	cohesiveness	compactness	globalefficiency	networkcentralization	networkdensity	networkdiameter	networkheterogeneity
SF3B1	1	7313.05643639107	4.03624571789527e-05	27.1060777651944	4.22885994714987	2.38047313570384	0.0315892981193844	0.999999651830103	28.2303192681194	0.439830481703925	0.773373659484172	0.00255838393253369	6	3.67220992177863
PKD1	1	7312.97168742921	4.03627149849212e-05	27.1302378255946	4.22885994714987	2.38045713778749	0.0316828540956405	0.999999652140156	28.3471890337259	0.439833817572342	0.773371379157565	0.00256066425914059	6	3.67007226156113
PKD2	1	7312.96810117024	4.03627255117192e-05	27.1308040770102	4.22885994714987	2.38045646081553	0.0316826601540565	0.999999652147416	28.3475706020671	0.439833948216054	0.773371325712411	0.00256071770429544	6	3.67002858267964
APC	2	7311.0068893922	4.03683149553977e-05	27.1073990184975	4.22838807097018	2.38034678733535	0.031672858100214	0.999999651847073	28.3275226426163	0.43976767028541	0.773373534778811	0.002558508637895	6	3.67273883814445
PFN2	1	7313.01849754626	4.036260222698e-05	27.1257078142695	4.22885994714987	2.38046597405309	0.0316829243834155	0.999999652082063	28.357549470108	0.439832612977932	0.773371806718804	0.0025602366979018	6	3.6705997286233
RRBP1	1	7312.98480558701	4.03626750386677e-05	27.126462816157	4.22885994714987	2.38045961407966	0.0316816797604729	0.999999652091746	28.3461727429272	0.439833306874196	0.773371735458598	0.00256030795810826	6	3.67043501325429
PFN1	1	7313.1132502831	4.03623658371994e-05	27.1223103057758	4.22885994714987	2.38048386036491	0.0316814096154089	0.99999965203848	28.3491347020961	0.439830249811324	0.773372127389733	0.0025599160269727	6	3.67069723142079
KRT7	1	7312.97130992826	4.03627159713315e-05	27.1306153265383	4.22885994714987	2.38045706652728	0.031683182039775	0.999999652144996	28.3529799018228	0.439833838356569	0.773371343527462	0.00256069988924382	6	3.6700235879895
PHB	1	7313.10390713477	4.03623811682214e-05	27.1138165345413	4.22885994714987	2.3804820966748	0.0316542356793455	0.999999651929477	28.3045052005093	0.439830163111422	0.773372929067056	0.00255911434964996	6	3.67155182305574
COL4A2	1	7312.26406191017	4.03649465124388e-05	27.1311815779539	4.22876557191393	2.38032356053047	0.0316792241830481	0.999999652152256	28.3441349414138	0.439855410008655	0.773465674225771	0.00256075333439867	6	3.67023005812583
PCNA	1	7314.09239335598	4.03599103398321e-05	27.0889014722537	4.22895432238581	2.38066869152543	0.0316040271233129	0.999999651609338	28.2427360861417	0.439812136654323	0.773375280653869	0.00255676276283659	6	3.67409273180692
FEN1	1	7313.03822197058	4.03625190704651e-05	27.1251415628539	4.22885994714987	2.38046969739888	0.0316824603604903	0.9999996520748	28.3375061399869	0.43983164858981	0.773371860163959	0.00256018325274695	6	3.67044600326708
CDC6	2	7310.8062476406	4.03687984301935e-05	27.1243865609664	4.22838807097018	2.38030890538538	0.0316753773413816	0.999999652065115	28.332482916152	0.439772835759619	0.773371931424165	0.00256011199254048	6	3.67074045967504
HUS1	2	7310.77170630427	4.03688860788022e-05	27.1287278218196	4.22838807097018	2.38030238384554	0.0316816865965105	0.999999652120793	28.3436431361514	0.439773853592911	0.773371521677978	0.00256052173872766	6	3.67021169085618
